,Date,ID,Name,Abs_magnitude,Min_diameter,Max_diameter,Potential_hazard,Close_approach_date,Relative_velocity,Miss_distance,Orbiting_body,Sentry_object
112,2023-01-07,54338830,(2023 AG1),22.66,0.0780827277,0.1745982871,False,2023-01-07,12.9313991703,0.2310035475,Earth,False
113,2023-01-11,3406893,(2008 FC),24.8,0.0291443905,0.0651688382,False,2023-01-11,15.9110825089,0.3630564592,Earth,False
114,2023-01-11,3604617,(2012 KT12),26.8,0.0116025908,0.0259441818,False,2023-01-11,7.7615267171,0.4651819417,Earth,False
115,2023-01-11,3625068,(2013 BO27),24.11,0.0400456158,0.0895447192,False,2023-01-11,14.0105879627,0.0754695372,Earth,False
116,2023-01-11,3714123,(2015 FG36),23.82,0.0457672667,0.1023387195,False,2023-01-11,6.2050261964,0.2942544451,Earth,False
117,2023-01-11,3843391,(2019 OZ1),21.97,0.1072889455,0.2399053753,False,2023-01-11,18.4025605076,0.334425162,Earth,False
118,2023-01-11,3991612,(2020 DJ),26.2,0.0152951935,0.0342010925,False,2023-01-11,9.4528488018,0.2299727817,Earth,False
119,2023-01-11,54016677,(2020 HX3),27.2,0.0096506147,0.0215794305,False,2023-01-11,11.3039995199,0.4579440039,Earth,False
120,2023-01-11,54054527,(2020 SJ2),26.7,0.0121494041,0.0271668934,False,2023-01-11,20.1136120306,0.4017624599,Earth,False
121,2023-01-11,54276382,(2022 HN1),25.48,0.0213086029,0.0476474846,False,2023-01-11,7.4884629634,0.3799870459,Earth,False
122,2023-01-11,54338707,(2023 AP),23.41,0.0552783379,0.1236061213,False,2023-01-11,19.9381570742,0.0125081723,Earth,False
123,2023-01-11,54338710,(2023 AS),27.49,0.0084441313,0.0188816516,False,2023-01-11,6.3120795046,0.0038777846,Earth,False
124,2023-01-11,54340266,(2023 BO5),25.77,0.0186446818,0.041690776,False,2023-01-11,2.2089561223,0.0626081277,Earth,False
125,2023-01-11,54340277,(2023 BA6),23.66,0.0492668706,0.1101640716,False,2023-01-11,12.946985531,0.1029584951,Earth,False
126,2023-01-11,54360728,(2023 KM5),21.03,0.1654074158,0.3698622257,True,2023-01-11,14.1368433052,0.3506138517,Earth,False
127,2023-01-11,54375699,(2023 OD1),24.85,0.0284809831,0.0636854144,False,2023-01-11,7.6245261184,0.3195346871,Earth,True
128,2023-01-12,2022099,22099 (2000 EX106),18.09,0.6405528629,1.4323197447,False,2023-01-12,9.0842839539,0.3789003836,Earth,False
129,2023-01-12,3371135,(2007 EF88),23.57,0.0513517179,0.1148259319,False,2023-01-12,10.218399915,0.1926373538,Earth,False
130,2023-01-12,3471692,(2009 UP1),19.94,0.273246732,0.6109982675,False,2023-01-12,14.3449343201,0.2945150558,Earth,False
131,2023-01-12,3655562,(2013 YK48),23.45,0.0542693946,0.1213500554,False,2023-01-12,10.8555264228,0.2029289237,Earth,False
132,2023-01-12,3775153,(2017 KU34),23.6,0.0506471459,0.1132504611,False,2023-01-12,15.9542562214,0.3716759261,Earth,False
133,2023-01-12,3788037,(2017 UY5),18.79,0.4640395282,1.0376239294,True,2023-01-12,11.4434550713,0.1645062629,Earth,False
134,2023-01-12,3797456,(2018 AN2),24.8,0.0291443905,0.0651688382,False,2023-01-12,11.4571995878,0.1233126578,Earth,False
135,2023-01-12,54103879,(2021 AA),26.98,0.0106795998,0.023880311,False,2023-01-12,29.7593189404,0.2671620801,Earth,False
136,2023-01-12,54336529,(2022 YZ2),23.43,0.0547715431,0.1224728936,False,2023-01-12,6.5205974686,0.0425507715,Earth,False
137,2023-01-12,54336901,(2022 YD5),24.38,0.0353634784,0.0790751417,False,2023-01-12,10.6181054718,0.0211518876,Earth,False
138,2023-01-12,54338674,(2023 AN),27.95,0.006832112,0.0152770668,False,2023-01-12,14.7729121599,0.003615415,Earth,False
139,2023-01-12,54338709,(2023 AR),25.02,0.0263363131,0.0588897864,False,2023-01-12,30.089696723,0.009209869,Earth,False
140,2023-01-12,54338713,(2023 AV),30.66,0.0019613494,0.0043857107,False,2023-01-12,15.0495382129,0.0001039543,Earth,False
141,2023-01-12,54338826,(2023 AC1),28.99,0.0042320908,0.0094632427,False,2023-01-12,13.9883506806,0.0016273606,Earth,False
142,2023-01-12,54338888,(2023 AN1),24.19,0.0385971268,0.0863057993,False,2023-01-12,12.9069600215,0.0745741922,Earth,False
143,2023-01-12,54402371,(2023 VV),23.49,0.0532788665,0.1191351672,False,2023-01-12,8.2460406854,0.3770108068,Earth,False
144,2023-01-12,2726196,726196 (2009 UP1),19.95,0.2719912773,0.6081909854,False,2023-01-12,14.3449351288,0.2945150874,Earth,False
145,2023-01-10,2428694,428694 Saule (2008 OS9),19.39,0.3520099801,0.7871182442,False,2023-01-10,17.6618533497,0.3611740254,Earth,False
146,2023-01-10,2496861,496861 (2000 BE19),18.06,0.6494638409,1.4522452972,False,2023-01-10,21.0855681885,0.2630141279,Earth,False
147,2023-01-10,3769812,(2017 DO34),23.64,0.0497227313,0.1111834072,False,2023-01-10,9.5515944354,0.2137102713,Earth,False
148,2023-01-10,3795086,(2017 YQ5),24.7,0.0305179233,0.0682401509,False,2023-01-10,11.2644012471,0.1697022199,Earth,False
149,2023-01-10,3799758,(2018 DW3),18.57,0.5135171787,1.1482593191,False,2023-01-10,21.1041843367,0.4890279465,Earth,False
150,2023-01-10,3837956,(2019 BC1),20.25,0.2368944994,0.5297122041,True,2023-01-10,13.7805286843,0.0734655069,Earth,False
151,2023-01-10,54051050,(2020 PY2),26.5,0.0133215567,0.0297879063,False,2023-01-10,21.4481300685,0.4841496025,Earth,False
152,2023-01-10,54051293,(2020 QY2),31.2,0.0015295194,0.0034201092,False,2023-01-10,11.8702680292,0.2844398831,Earth,False
153,2023-01-10,54054624,(2020 SN4),26.6,0.0127219879,0.0284472297,False,2023-01-10,19.4481991189,0.4079092999,Earth,False
154,2023-01-10,54145460,(2021 JG6),23.99,0.042320908,0.0946324271,False,2023-01-10,6.8402348332,0.0808893797,Earth,False
155,2023-01-10,54224433,(2021 WN2),26.72,0.0120380177,0.0269178258,False,2023-01-10,5.4542751181,0.1720829882,Earth,True
156,2023-01-10,54293876,(2020 AQ24),24.98,0.0268259417,0.0599846292,False,2023-01-10,17.8862695157,0.190614154,Earth,False
157,2023-01-10,54330578,(2022 WO9),24.3,0.0366906138,0.0820427065,False,2023-01-10,2.445537356,0.0884455198,Earth,False
158,2023-01-10,54336801,(2022 YN4),21.2,0.1529519353,0.3420109247,False,2023-01-10,9.5753706328,0.3285679438,Earth,False
159,2023-01-10,54336958,(2022 YX5),24.81,0.0290104841,0.0648694146,False,2023-01-10,10.7695923691,0.0656629266,Earth,False
160,2023-01-10,54338675,(2023 AO),25.44,0.0217047594,0.0485333175,False,2023-01-10,12.263023649,0.0432127438,Earth,False
161,2023-01-10,54338831,(2023 AL1),26.28,0.0147419515,0.0329640056,False,2023-01-10,7.0336468688,0.0352157633,Earth,False
162,2023-01-10,54340043,(2023 BV2),23.32,0.0576175751,0.1288368146,False,2023-01-10,8.433916865,0.0800760944,Earth,False
163,2023-01-10,54374207,(2023 MH4),26.83,0.0114433973,0.0255882143,False,2023-01-10,19.4177285798,0.4642524758,Earth,False
164,2023-01-13,2162385,162385 (2000 BM19),18.61,0.5041444339,1.1273012246,False,2023-01-13,7.6202643957,0.085187868,Earth,False
165,2023-01-13,2380636,380636 (2004 XN14),19.76,0.2968622513,0.6638041738,True,2023-01-13,16.5601143722,0.2429163729,Earth,False
166,2023-01-13,3553148,(2010 XB11),19.73,0.3009920165,0.6730386097,False,2023-01-13,27.8637273925,0.4004190557,Earth,False
167,2023-01-13,3755188,(2016 NF22),20.33,0.228325794,0.5105519964,False,2023-01-13,19.2159299394,0.2519044384,Earth,False
168,2023-01-13,3759642,(2016 RH40),24.3,0.0366906138,0.0820427065,False,2023-01-13,12.7019979886,0.3535170161,Earth,False
169,2023-01-13,3799273,(2018 CB2),25.0,0.02658,0.0594346868,False,2023-01-13,12.2758579068,0.38204255,Earth,False
170,2023-01-13,54135432,(2021 GU3),26.9,0.0110803882,0.0247765013,False,2023-01-13,8.5176897864,0.3914590306,Earth,False
171,2023-01-13,54235681,(2022 AM3),26.57,0.0128989683,0.02884297,False,2023-01-13,15.6882206161,0.319114302,Earth,False
172,2023-01-13,54293111,(2022 PJ),23.09,0.0640552863,0.1432319745,False,2023-01-13,11.2322987075,0.2647904881,Earth,False
173,2023-01-13,54335604,(2022 XE2),22.19,0.0969515991,0.2167903661,False,2023-01-13,2.0822303556,0.3177963766,Earth,False
174,2023-01-13,54336914,(2022 YS5),24.84,0.0286124454,0.0639793729,False,2023-01-13,5.9737978997,0.0398455286,Earth,False
175,2023-01-13,54338833,(2023 AK1),24.55,0.0327005439,0.0731206391,False,2023-01-13,7.2652400191,0.0872304639,Earth,False
